annee_de_publication,nature,organisme_preteur_ou_chef_de_file,date_d_emission_ou_date_de_mobilisation,date_de_derniere_echeance,capital_initial,capital_restant_du_au_31_12_2016,type_de_taux_d_interet,index,taux_initial_niveau_de_taux,taux_initial_taux_actuariel,profil_d_amortissement,possibilite_de_remboursement,categorie_d_emprunt
2013,16441 - Emprunts option tirage tréso,SOCIETE GENERALE,2005-12-30,2013-12-30,50000000.0,0.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,non,A-1
2014,1641 - Emprunts établissements crédit,BEI,2010-07-21,2023-07-21,100000000.0,100000000.0,Fixe,TAUX FIXE,3.451,3.4512,Emprunt in fine,non,A-1
2013,1641 - Emprunts établissements crédit,CREDIT FONCIER,2003-12-22,2018-12-22,40000000.0,40000000.0,Indexé,TAG12M,0.1776,1.3408,Emprunt in fine,oui,A-1
2018,16311 - Emissions obligataires,Citibank/HSBC/Natixis,None,2032-01-12,300000000.0,300000000.0,None,TAUX FIXE,1.313,1.313,Emprunt in fine,non,A-1
2011,1641 - Emprunts établissements crédit,C.D.C.,1954-11-23,2019-03-31,31064.74,7003.06,Fixe,TAUX FIXE,2.0,1.3381,Échéance constante,oui,A-1
2013,16311 - Emissions obligataires,Natixis,2013-04-30,2029-04-30,60000000.0,60000000.0,Indexé,EURIBOR03M,0.6930000000000001,0.7264,Emprunt in fine,oui,A-1
2015,16311 - Emissions obligataires,Natixis,2013-12-12,2033-12-12,20000000.0,20000000.0,Fixe,TAUX FIXE,3.24,3.2401,Emprunt in fine,non,A-1
2007,16311 - Emissions obligataires,HSBC-Natixis,2007-12-04,2020-12-04,160000000.0,160000000.0,Fixe,TAUX FIXE,4.5,4.5001,Emprunt in fine,oui,A-1
2008,16311 - Emissions obligataires,Natixis,2006-11-28,2019-11-28,100000000.0,100000000.0,Indexé,EURIBOR03M,-0.008,1.1258,Emprunt in fine,oui,A-1
2013,16311 - Emissions obligataires,Crédit Agricole,2012-09-20,2026-01-20,100000000.0,100000000.0,Fixe,TAUX FIXE,2.909,2.9098,Emprunt in fine,oui,A-1
2012,168 Autres emprunts et dettes assimilées,S.I.A.A.P.,1976-01-01,2024-06-15,59348.4,59348.4,Fixe,TAUX FIXE,0.0,0.0,Échéance constante,oui,A-1
2013,16311 - Emissions obligataires,Natixis,2013-12-12,2033-12-12,20000000.0,20000000.0,Fixe,TAUX FIXE,3.24,3.2401,Emprunt in fine,oui,A-1
2017,16311 - Emissions obligataires,92 - HSBC,2013-06-21,2028-06-21,75000000.0,75000000.0,Fixe,TAUX FIXE,2.886,2.8861,Emprunt in fine,non,A-1
2013,16311 - Emissions obligataires,Crédit Suisse,2007-12-14,2017-01-14,24405125.08,24405125.08,Indexé,EURIBOR04M,0.021,1.1414,Emprunt in fine,oui,A-1
2007,16441 - Emprunts option tirage tréso,CREDIT AGRICOLE IDF,2005-12-30,2011-12-30,100000000.0,100000000.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2017,1641 - Emprunts établissements crédit,31 - Helaba,2014-03-21,2023-03-21,25000000.0,25000000.0,Fixe,TAUX FIXE,2.1,2.1005,Emprunt in fine,oui,A-1
2016,1641 - Emprunts établissements crédit,BEI,2014-07-31,2023-07-31,130000000.0,130000000.0,Fixe,TAUX FIXE,1.454,1.4547,Emprunt in fine,non,A-1
2009,16441 - Emprunts option tirage tréso,Caisse Nat. C.E.,2004-12-17,2012-12-17,75000000.0,75000000.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2009,16441 - Emprunts option tirage tréso,Caisse Nat. C.E.,2004-12-17,2010-12-17,75000000.0,75000000.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2013,1641 - Emprunts établissements crédit,BEI,2010-07-21,2023-07-21,100000000.0,100000000.0,Fixe,TAUX FIXE,3.451,3.4512,Emprunt in fine,oui,A-1
2010,16311 - Emissions obligataires,HSBC,2005-11-16,2015-11-16,14888865.0,14888865.0,Indexé,EURIBOR03M,-0.012,1.7396,Emprunt in fine,oui,A-1
2015,1641 - Emprunts établissements crédit,Helaba,2014-07-11,2034-07-11,50000000.0,50000000.0,Fixe,TAUX FIXE,2.572,2.5721,Emprunt in fine,oui,A-1
2018,16311 - Emissions obligataires,Crédit Agricole/HSBC/Société Générale,None,2031-05-25,300000000.0,300000000.0,None,TAUX FIXE,1.807,1.807,Emprunt in fine,non,A-1
2011,16311 - Emissions obligataires,HSBC,2005-11-09,2018-11-09,50651230.1,50651230.1,Indexé,EURIBOR03M,0.021,1.3865,Emprunt in fine,oui,A-1
2016,1641 - Emprunts établissements crédit,Helaba,2015-01-13,2024-12-13,40000000.0,40000000.0,Fixe,TAUX FIXE,1.125,1.1259000000000001,Emprunt in fine,oui,A-1
2017,16441 - Emprunts option tirage tréso,3 - DEXIA CREDIT LOCAL,2007-12-31,2017-12-31,100000000.0,0.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2014,16311 - Emissions obligataires,Société Générale,2013-10-01,2026-10-01,75000000.0,75000000.0,Fixe,TAUX FIXE,3.049,3.0492,Emprunt in fine,non,A-1
